year,journalname,title,author,keyword
2014,图书馆学研究,我国公共图书馆利用微信公众平台开展服务的现状调查及创新模式研究,孙雨;,微信; 微信公众平台; 公共图书馆; 创新服务;
2014,图书馆学研究,利用微信公众平台拓展图书馆读者荐购模式的方法研究,刘念;岳鸿;张骏毅;,微信公众平台; 读者荐购; 公众账号; 移动信息服务; 社交网络;
2014,图书馆学研究,我国高校图书馆微信服务现状调查研究,叶佩珍;,高校图书馆; 微信; 微信公众平台; 信息服务;
2014,图书馆学研究,高校图书馆微信数字参考咨询生态模型设计与实施,肖秋红;,微信; 数字咨询; 生态模型;
2014,图书馆学研究,微信公众平台高级功能在图书馆移动服务中的应用与探索,刘斌;王玮;杨文娜;,微信公众平台; 移动服务; 用户体验; 服务整合;
2014,图书馆学研究,高校图书馆微信资源共建系统的设计与实现,邓媛;张骏毅;杨九龙;,高校图书馆; 微信; 资源共建;
2014,图书馆学研究,“211工程”高校图书馆微信应用现状分析与对策研究,张骏毅;杨九龙;邓媛;,高校图书馆; 微信; 信息平台;
2014,图书馆学研究,高校图书馆微信服务现状及建议,黄浩波;,微信服务; 高校图书馆; 信息服务;
2015,国家图书馆学刊,基于功能需求的图书馆微信内容建设分析,吴锦辉;,微信; 图书馆; 微媒体; 移动服务;
2015,图书情报工作,图书馆的“微”时代——现阶段我国图书馆微信服务运用调查分析,朱铮;,微信; 电子终端; 图书馆; 服务推广;
2015,图书情报工作,基于微信公众平台的高校图书馆阅读推广效果实证研究,万慕晨;欧亮;,高校图书馆; 微信; 阅读推广; 效果分析;
2015,图书情报工作,基于微信公众平台的高校图书馆学科服务创新,杜辉;刘晓;袁百成;,微信; 高校图书馆; 学科服务; 微信服务;
2015,图书情报工作,利用微信公众平台构建高校图书馆APP的技术实现,张长恒;黄芳;,微信; 图书馆; 移动应用程序;
2015,图书馆杂志,图书馆的微信营销:浙江工业大学图书馆的探索,池晓波;金丹;,图书馆; 微信营销; 微服务;
2015,图书馆杂志,图书馆微信公众号内容营销策略:基于微信传播指数WCI的分析,黄国凡;张钰梅;,图书馆; 微信; 内容营销; 读者服务;
2015,图书馆杂志,图书馆微信服务用户参与的影响因素分析,何晓兵;孙先艳;,图书馆微信服务; 用户参与; 影响因素;
2015,图书馆杂志,公共图书馆信息化服务中微信的应用,彭春林;蒋恩智;,公共图书馆; 微信; 信息化; 应用;
2015,图书馆建设,微信环境下高校移动图书馆信息服务的创新,陈文文;李燕;周欢;,微信; 移动图书馆; 信息服务创新;
2015,图书馆建设,图书馆微信借书系统的设计与实现,姚舜;,图书馆; 微信公众平台; 微信借书;
2015,图书馆论坛,图书馆微信公众服务平台探索与创新——以广东省立中山图书馆为例,吴昊;,微信; 移动图书馆; 数字化阅读; 公众服务平台;
2015,现代情报,基于推送消息调查的高校图书馆微信平台运营策略研究,杨小莉;王超;,微信公众平台; 消息推送; 微信运营; 高校图书馆; 新媒体;
2015,现代情报,微信息环境下的图书馆微服务策略研究,龙叶;雷英杰;,图书馆; 微信息环境; 微内容; 微服务; 策略;
2015,现代情报,微博、微信在图书馆移动信息服务中的比较与整合研究,韩冰;白福春;,微博; 微信; 移动信息服务;
2015,图书馆学研究,基于微信公众平台的图书馆入馆教育调查研究——以“985工程”高校图书馆为例,赵丹;,微信公众平台; 入馆教育; 高校图书馆;
2015,图书馆学研究,省级公共图书馆微博和微信服务研究,张丹丹;杨思洛;邢文明;,省级图书馆; 微博; 微信; 服务研究;
2015,图书馆学研究,高校图书馆微博与微信服务比较研究——以“211工程”高校为例,蒋逸颖;周淑云;,高校图书馆; 微博服务; 微信服务;
2015,图书馆学研究,图书馆微信“馆员在线”的设计与实现,宋振世;樊姗;,微信; 参考咨询; 馆员在线;
2015,图书馆学研究,“211工程”高校图书馆微信平台应用与现状分析,赵玉明;明均仁;高凯;,微信; 移动服务; 高校图书馆;
2015,图书馆学研究,我国图书馆微信读书会发展研究,梁志敏;,微信读书会; 阅读推广; 图书馆;
2015,图书馆学研究,高校图书馆微信公众账号服务研究——以“211”高校为例,韩娟娟;,微信公众账号; 图书馆服务; 信息推送;
2015,图书馆学研究,我国高校图书馆微信服务评价,靳佳丽;王一华;,高校图书馆; 微信服务; 评价;
2015,图书馆学研究,利用微信构建图书馆智能问答系统,沈奎林;邵波;赵华;,微信; 智能问答; 图书馆; 自助服务;
2015,图书馆学研究,微信公众平台在陕西省高校图书馆应用现状及建议,周秋霞;,微信; 高校图书馆; 陕西省; 信息服务;
2015,图书馆学研究,基于微信公众平台的“985”高校图书馆服务现状调查与分析,郭军;,微信公众平台; 图书馆服务; “985”高校;
2016,图书与情报,当图书馆遇上微信小程序,王天泥;,图书馆; 微信小程序; APP; 读者服务;
2016,图书情报工作,基于读者的高校图书馆微信公众平台阅读推广实证研究,周萌;周秀会;,高校图书馆; 微信公众平台; 阅读推广; 大学生读者;
2016,图书情报工作,高校图书馆微信公众平台传播影响力评价体系研究,郭顺利;张向先;李中梅;,高校图书馆; 微信公众平台; 传播影响力; 扎根理论; 层次分析法; 评价体系;
2016,图书情报工作,基于微信与iBeacon的图书馆室内定位的研究与实现,陈晨;,图书馆; 微信; 蓝牙; 室内定位; iBeacon;
2016,图书馆杂志,图书馆微信应用接口的开源实现,唐振贵;唐清;邓己红;,开源软件; 微信开发; 图书馆;
2016,图书馆杂志,利用WeiPHP开源框架实现微信图书馆,沈奎林;邵波;杜瑾;,微信; WeiPHP; 开源软件; 移动服务;
2016,情报科学,SoLoMo模式下基于微信公众平台构建图书馆移动服务系统的研究,倪懿;,SoLoMo; 微信; 微信公众平台; 移动图书馆;
2016,图书馆论坛,高校图书馆微信公众号传播效果实证研究——以四川大学图书馆为例,李晓蔚;,微信公众号; 社交化阅读; 传播效果; 实证研究;
2016,图书馆论坛,图书馆PDA微信采访平台构建,周群;,微信; 图书馆采访; PDA;
2016,现代情报,北京市高校图书馆微信公众平台的应用调查与对策分析,明均仁;高凯;,北京市; 高校图书馆; 微信; 移动服务; 调查;
2016,现代情报,基于微信公众平台构建图书馆座位管理系统,周耀;蒋天民;,微信公众平台; 座位管理系统; 图书馆;
2016,现代情报,图书馆微信平台自动问答机器人语言体系研究,李雪婷;李莘;,微信平台; FAQ; 自动问答; 图书馆; 机器人; 语言体系;
2016,现代情报,国内省级公共图书馆微信平台服务探析,郭春侠;李诗琪;,公共图书馆; 微信; 图书馆服务; 移动信息服务;
2016,现代情报,我国公共图书馆微信公众平台应用现状研究,甘春梅;郑姣姣;,公共图书馆; 微信; 微信公众平台; 信息服务; 移动服务;
2016,信息资源管理学报,高校图书馆微信公众平台用户使用意愿影响因素实证研究,涂霞;,微信公众平台; 使用意愿; 高校图书馆; 结构方程建模;
2016,图书馆学研究,吉林省高校图书馆微信平台服务现状与发展对策,盖露薇;张永;杨松;,微信公众平台; 移动服务; 高校图书馆;
2016,图书馆学研究,图书馆微信的移动信息服务研究,丁敬达;李辉;,图书馆; 微信; 移动信息服务; 对策;
2016,图书馆学研究,面向39所高校图书馆的微信调查与分析,王其和;吴家霞;付可心;田姗;,微信; 移动服务; 高校图书馆;
2016,图书馆学研究,高校图书馆微信公众号运营情况及其启示,蒋银;顾建新;,高校图书馆; 微信公众平台; 微信运营; “985工程”高校;
2016,图书馆学研究,基于微信公众平台的高校图书馆个性化知识服务建设研究,常金玲;胡艳芳;,微信公众平台; 高校图书馆; 知识服务;
2016,图书馆学研究,天津市公共图书馆系统微信公众平台服务运营浅析,岳立春;,公共图书馆; 微信服务; 运营; 分析;
2016,图书馆学研究,近两年我国高校图书馆微信服务现状及策略研究,李伟超;毕丽萍;贾艺玮;,微信; 微信公共平台; 微信服务; 高校图书馆;
2016,图书馆学研究,高职图书馆微信公众号平台现状及发展研究,王东亮;罗雨舟;杨勇;,微信公众号; 高职院校; 图书馆; 服务;
2016,图书馆学研究,高校图书馆微信应用现状与发展对策研究——基于“211”高校图书馆的调研,张宁;阳景;颜盼盼;,高校图书馆; 微信应用; 信息服务;
2016,图书馆学研究,安徽省高校图书馆微信公众平台调研与分析,郭春侠;朱戈;,微信公众平台; 移动服务; 高校图书馆; 安徽;
2016,图书馆学研究,基于微信的高校图书馆个性化移动信息服务平台建设,王卫军;,微信公众号; 高校图书馆; 个性化信息服务; 移动服务;
2016,图书馆学研究,“211”/“985”农林院校图书馆微信公众平台建设调研,王丹;,微信公众平台; 图书馆; 信息服务;
2016,图书馆学研究,江西省高校图书馆微信公众平台调查与分析,袁梁;,微信公众平台; 高校图书馆; 江西省;
2016,图书馆学研究,嵌入微信平台的图书馆虚拟延伸服务实践探索,罗亚泓;,微信; 图书馆嵌入式服务; 虚拟延伸服务;
2016,图书馆学研究,公共图书馆微信服务现状与传播影响力研究——基于省级样本数据的分析,朱多刚;刘城晨;,微信; 公共图书馆; 传播影响力;
2016,图书馆学研究,微信公众平台在高校图书馆阅读推广工作中的应用研究,刘倩美;,微信公众平台; 高校图书馆; 阅读推广;
2016,图书馆学研究,微信在图书馆的应用及微信图书馆发展研究,严丹;,微信; 微信图书馆; 移动图书馆; 服务功能; 发展策略;
2016,图书馆学研究,湖北省高校图书馆微信公众平台调查与分析,明均仁;张玄玄;陈雪;,微信; 移动服务; 移动图书馆; 高校图书馆;
2017,图书情报知识,高校图书馆微信信息计量分析,王磊;吕鹏辉;张仁琼;,图书馆; 微信; 数据采集; 信息计量; 共现; 耦合;
2017,大学图书馆学报,“985工程”高校图书馆微信公众号研究,周海晨;陆和建;,高校图书馆; 微信; 爬虫程序; Python WCI;
2017,情报杂志,基于微信推文内容视域下图书馆微信服务现状研究及建议,王磊;吕鹏辉;,图书馆; 微信; 数据爬取; 文本挖掘;
2017,图书情报工作,天津市19所普通高校图书馆微信公众平台服务调查分析,翟凤茹;,微信公众平台; 天津市; 普通高校; 读者服务; 创新;
2017,图书情报工作,高校图书馆微信公众平台的媒介引力场模型及其影响因素——基于DEMATEL系统因素分析的大众传播视角,张艳丰;李贺;彭丽徽;洪闯;,高校图书馆; 微信公众平台; 大众传播; 媒介引力场;
2017,图书情报工作,高校图书馆微信公众平台用户流失行为模型及其影响因素分析,郭顺利;张向先;相甍甍;,高校图书馆; 微信公众平台; 用户流失; 影响因素; 解释结构模型;
2017,图书馆杂志,微信在图书馆信息服务中的应用实践——以华东师范大学图书馆为例,宋振世;顾笑迎;,微信; 图书馆; 信息服务; 应用实践;
2017,情报科学,基于用户需求的高校图书馆微信使用研究,柳瑶;郭洋;,高校图书馆; 微信公众平台; 用户需求; 用户使用;
2017,情报科学,“互联网+”背景下高校图书馆“O2O”微信服务模式研究,邸春姝;张雪梅;过仕明;,高校图书馆; 微信; 服务模式;
2017,情报科学,基于信息素养视角的碎片化阅读行为实证研究——以图书馆微信平台为例,徐艳;,碎片化阅读; 图书馆微信平台; 信息素养;
2017,图书馆论坛,微信小程序在图书馆移动服务中的应用实践——以排架游戏为例,朱玉强;,微信小程序; 图书馆移动服务; 排架游戏;
2017,图书馆论坛,基于D&M的图书馆微信公众号持续使用意愿研究,孙绍伟;甘春梅;宋常林;,图书馆服务; 微信公众号; 信息系统成功模型; 用户满意度; 持续使用意愿;
2017,图书馆论坛,图书馆网络影响力研究:以自媒体微博微信为视角,雷欢;,图书馆; 微博; 微信; 自媒体; 网络影响力; 网络传播指数; 评价指标;
2017,现代情报,数字图书馆微信公众号平台服务质量评价研究,胡媛;曹阳;,数字图书馆; 微信公众号平台; 层次分析法; 服务质量评价;
2017,现代情报,高校图书馆微信公众号信息传播效果研究——基于头条文章标题的分析,薛调;,高校图书馆; 微信公众号; 传播效果; 头条标题; 议程设置功能;
2017,现代情报,高校图书馆微信服务的现状与应对策略,杨文建;,图书馆; 微信; 信息服务; 现状; 策略;
2017,现代情报,商业运营微信阅读推广对高校图书馆开展微信服务的启示,宋振世;,商业运营; 阅读推广; 高校图书馆; 微信; 清博指数;
2017,图书馆学研究,暗数据可视化在高校图书馆微信移动服务的应用探究,邓小茹;,暗数据; 可视化分析; 移动信息服务; 微信; 精准服务;
2017,图书馆学研究,基于微信公众平台的高校图书馆数字参考咨询服务实证研究,刘薇;,数字参考咨询; 高校图书馆; 微信公众平台;
2017,图书馆学研究,湖北省高校图书馆的微信公众平台调查与分析,吴晓英;明均仁;操慧子;,高校图书馆; 微信; 移动服务; 图书馆建设;
2017,图书馆学研究,基于微信的高校图书馆电子资源推广调查与分析——以“985”高校图书馆为例,常定姁;,微信; 高校图书馆; 电子资源推广; “985”高校;
2017,图书馆学研究,福建省区县级图书馆微信公众平台利用情况调查与分析,欧阳红红;,微信; 基层图书馆; 区县图书馆; 福建;
2017,图书馆学研究,高校图书馆微信公众平台用户信息行为实证研究——以暨南大学图书馆为例,都蓝;王子祺;,微信公众平台; 信息行为; 高校图书馆; 实证研究;
2017,图书馆学研究,基于微信公众平台的图书馆实时虚拟参考咨询服务,廖宇峰;,微信; 微信公众平台; 图书馆; 实时虚拟参考咨询;
2017,图书馆学研究,江苏省普通高校图书馆微信服务状况分析,丁枝秀;,高校图书馆; 微信公众平台; 江苏省;
2017,图书馆学研究,微信公众号信息源价值评析——对公共图书馆专题性参考咨询的意义,金晓妹;,微信公众号; 信息源; 专题性参考咨询;
2017,图书馆学研究,阅读推广软文模式优化研究——以大连外国语大学图书馆微信推广为例,黄红梅;张泽梅;,阅读推广; 软文模式; 微信公众平台; 优化;
2017,图书馆学研究,高校图书馆微信服务大数据研究——以“985”工程高校为例,姚鹏;,高校图书馆; 微信公众平台; 大数据;
2017,图书馆学研究,高校图书馆微信信息服务的评价指标体系研究——以复旦大学图书馆微信信息服务为例,狄亚飞;侯雪林;应峻;,微信公众平台; 信息服务; 指标体系; 高校图书馆; 复旦大学图书馆;
2017,图书馆学研究,基于微信公众平台的高校图书馆讲座调研与思考——以南京地区高校为例,孙辉;,微信公众平台; 高校图书馆; 讲座;
2018,大学图书馆学报,高校图书馆微信公众平台推荐书目模式及效果调查研究,黄颖;杨贺晴,高校图书馆;微信;推荐书目;东北师范大学
2018,国家图书馆学刊,移动图书馆用户体验评价指标体系研究——以重庆大学微信图书馆平台为例,魏群义;李艺亭;姚媛,移动图书馆;微信图书馆;移动服务;用户体验评价;层次分析法
2018,国家图书馆学刊,基于微信平台的高职院校图书馆阅读推广问题及对策——以广东省“创一流”高职院校图书馆为例,侯君洁,微信;高职院校;图书馆;阅读推广
2018,图书馆论坛,高校图书馆微信公众平台服务质量评价研究,周玲元;李俊;王雪,高校图书馆;微型公众号;服务质量;评价体系
2018,图书馆论坛,微博与微信在高校图书馆应用的比较,邢文明;潘琦;姜勇峰,微博;微信;高校图书馆
2018,图书馆论坛,静态阅读推广资源视角下的高校图书馆微信公众号探究,王宝英;王宝玲;靳月庆,静态阅读推广资源;高校图书馆;微信公众号;推送平台;栏目设置;现状研究
2018,图书馆论坛,用户体验视角下的图书馆微信公众平台满意度研究,崔竞烽;郑德俊;孙钰越;刘欢;万虹育,图书馆;微信公众平台;用户体验;满意度;Shapley;值
2018,图书馆学研究,高校图书馆微信公众号服务发展现状及对策研究——基于42所“双一流”建设高校的调研,徐春;张静,高校图书馆;微信公众号;“双一流”建设高校
2018,图书馆学研究,江苏省公办本科高校图书馆微信公众号推文应用调查与对策分析,杨明,高校图书馆;微信公众号;推文应用
2018,图书馆学研究,静态阅读推广视角下高校图书馆微博与微信服务的比较,汤正午;高波;朱志鹏,静态阅读推广;高校图书馆;微博;微信
2018,图书馆学研究,高校图书馆微信服务用户需求——功能匹配路径建设,孙福强,高校图书馆;微信互动服务;需求—功能匹配
2018,图书馆学研究,图书馆微信小程序的应用现状与展望,芦晓红,图书馆;微信小程序
2018,图书馆学研究,高校图书馆微信服务发展现状及传播影响力研究——基于“双一流”建设高校的调查与分析,贾文龙,高校图书馆;微信服务;影响力;“双一流”
2018,图书馆学研究,基于用户需求的高校图书馆微信公众平台运营策略和功能设计研究——以苏州科技大学图书馆为例,胡安琪;吉顺权,用户需求;高校图书馆;微信公众平台;运营策略;功能设计
2018,图书馆学研究,高校图书馆微信公众号的图文转化率研究——以浙江财经大学图书馆为例,王永胜;陈亨安;乐金磊,高校图书馆;微信公众号;图文转化率
2018,图书馆学研究,吉林省高校图书馆微信公众号网络影响力分析及建议,王波,微信公众号;高校图书馆;网络影响力
2018,图书馆学研究,微信小程序赋予图书馆内部办公自动化的新可能性及实践重点——以厦门大学为例,陈俊杰;吴明杰;张晓静;李剑,微信小程序;OA;移动化
2018,图书馆学研究,江苏省“211工程”高校图书馆微信公众平台建设现状及对策研究,刘颖;高俊宽,微信公众平台;高校图书馆;江苏省
2018,图书馆学研究,基于目标管理法的图书馆微信公众平台服务建设研究,刘阜源,目标管理法;图书馆微信公众平台;服务建设
2018,图书馆杂志,基于WCI的艺术院校图书馆微信阅读推广效果研究,姜玲,艺术院校图书馆;微信;阅读推广;WCI;效果
2018,图书馆杂志,高校图书馆微信公众号影响力指数相关性分析与发布内容研究,王康;王晓慧,高校图书馆;微信公众号;影响力指数;内容分析
2018,图书馆杂志,基于SPSS实证分析的高校图书馆微信公众平台内容运营策略研究,陈冬玲,高校图书馆;微信公众平台;运营策略;实证分析
2018,图书馆杂志,面向微信公众号的高校图书馆新媒体环境下知识交互服务模式——基于武汉理工大学图书馆微信平台实证研究,张蓉晖;付先华;夏琦,社会性网络服务;武汉理工大学微信平台;知识交互“微”化服务模式
2018,图书馆杂志,国内省级公共图书馆微信公众号推送文章研究:基于Tableau与WCI的分析,闻波;周海晨;王栩,省级公共图书馆;微信;爬虫;WCI
2018,图书馆杂志,图书馆微信服务长效工作模式探析——基于移动互联网思维,周一萍;朱兵清,移动互联网思维;图书馆移动服务;微信公众平台;工作模式
2018,图书情报工作,艺术院校图书馆微信阅读推广优秀案例研究,姜玲,艺术院校图书馆;微信;阅读推广;优秀案例;特点
2018,图书情报工作,高校图书馆微信公众平台推文内容建设探究——以北京师范大学图书馆为例,钊林真;李书宁;张玲,高校图书馆;微信公众平台;微信订阅号;内容建设
2018,图书情报工作,微信图书馆用户使用意愿影响因素实证研究,魏群义;姚媛;李艺亭,微信;微信图书馆;移动服务;使用意愿
2018,现代情报,图书馆微信公众平台推文主题传播研究,王磊,图书馆;微信公众平台;推文;主题模型;传播
2018,现代情报,高校图书馆微信公众号信息传播效果的影响因素分析,相甍甍;王晰巍;郭顺利,高校图书馆;微信公众号;信息传播;解释结构模型;影响因素
